Year,Day of Week,Month,Day,Time (ET),Game Type,Home Team,Away Team,Arena,City,State,Attendance,Date
2023,Friday,August,4,8:00 PM,Regular season,Minnesota Lynx,New York Liberty,Target Center,Minneapolis,MN,7631,2023-08-04
2023,Saturday,August,5,10:00 PM,Regular season,Phoenix Mercury,Seattle Storm,Footprint Center,Phoenix,AZ,9411,2023-08-05
2023,Sunday,August,6,3:00 PM,Regular season,Atlanta Dream,Indiana Fever,Gateway Center Arena @ College Park,Atlanta,GA,3209,2023-08-06
2023,Sunday,August,6,3:00 PM,Regular season,New York Liberty,Las Vegas Aces,Barclays Center,Brooklyn,NY,11418,2023-08-06
2023,Sunday,August,6,3:00 PM,Regular season,Washington Mystics,Los Angeles Sparks,Entertainment and Sports Arena,Washington,DC,4073,2023-08-06
2023,Sunday,August,6,4:00 PM,Regular season,Dallas Wings,Chicago Sky,College Park Center,Arlington,TX,4057,2023-08-06
2023,Tuesday,August,8,3:00 PM,Regular season,Seattle Storm,Connecticut Sun,Climate Pledge Arena,Seattle,WA,10212,2023-08-08
2023,Tuesday,August,8,7:00 PM,Regular season,Indiana Fever,Los Angeles Sparks,Gainbridge Fieldhouse,Indianapolis,IN,3006,2023-08-08
2023,Tuesday,August,8,8:00 PM,Regular season,Chicago Sky,Minnesota Lynx,Wintrust Arena,Chicago,IL,5099,2023-08-08
2023,Tuesday,August,8,8:00 PM,Regular season,Dallas Wings,Las Vegas Aces,College Park Center,Arlington,TX,5193,2023-08-08
2023,Tuesday,August,8,10:00 PM,Regular season,Phoenix Mercury,Washington Mystics,Footprint Center,Phoenix,AZ,6610,2023-08-08
2023,Thursday,August,10,7:00 PM,Regular season,Indiana Fever,Minnesota Lynx,Gainbridge Fieldhouse,Indianapolis,IN,2551,2023-08-10
2023,Thursday,August,10,10:00 PM,Regular season,Phoenix Mercury,Connecticut Sun,Footprint Center,Phoenix,AZ,7186,2023-08-10
2023,Thursday,August,10,10:00 PM,Regular season,Seattle Storm,Atlanta Dream,Climate Pledge Arena,Seattle,WA,7649,2023-08-10
2023,Friday,August,11,8:00 PM,Regular season,New York Liberty,Chicago Sky,Barclays Center,Brooklyn,NY,8070,2023-08-11
2023,Friday,August,11,10:00 PM,Regular season,Las Vegas Aces,Washington Mystics,Michelob ULTRA Arena,Las Vegas,NV,9364,2023-08-11
2023,Saturday,August,12,3:00 AM,Regular season,Los Angeles Sparks,Atlanta Dream,Crypto.com Arena,Los Angeles,CA,7119,2023-08-12
2023,Saturday,August,12,8:00 PM,Regular season,Dallas Wings,Connecticut Sun,College Park Center,Arlington,TX,4179,2023-08-12
2023,Sunday,August,13,3:00 PM,Regular season,Washington Mystics,Chicago Sky,Entertainment and Sports Arena,Washington,DC,3796,2023-08-13
2023,Sunday,August,13,6:00 PM,Regular season,Seattle Storm,Phoenix Mercury,Climate Pledge Arena,Seattle,WA,10107,2023-08-13
2023,Sunday,August,13,3:00 PM,Regular season,Indiana Fever,New York Liberty,Gainbridge Fieldhouse,Indianapolis,IN,5019,2023-08-13
2023,Sunday,August,13,9:00 PM,Regular season,Las Vegas Aces,Atlanta Dream,Michelob ULTRA Arena,Las Vegas,NV,8564,2023-08-13
2023,Thursday,August,17,10:00 PM,Regular season,Las Vegas Aces,New York Liberty,Michelob ULTRA Arena,Las Vegas,NV,9230,2023-08-17
2023,Friday,August,18,7:00 PM,Regular season,Connecticut Sun,Dallas Wings,Mohegan Sun Arena,Uncasville,CT,6584,2023-08-18
2023,Friday,August,18,7:00 PM,Regular season,Indiana Fever,Washington Mystics,Gainbridge Fieldhouse,Indianapolis,IN,3506,2023-08-18
2023,Friday,August,18,3:00 AM,Regular season,Atlanta Dream,Chicago Sky,Gateway Center Arena @ College Park,Atlanta,GA,2957,2023-08-18
2023,Friday,August,18,10:00 PM,Regular season,Phoenix Mercury,New York Liberty,Footprint Center,Phoenix,AZ,9652,2023-08-18
2023,Friday,August,18,10:00 PM,Regular season,Seattle Storm,Minnesota Lynx,Climate Pledge Arena,Seattle,WA,8865,2023-08-18
2023,Saturday,August,19,3:00 PM,Regular season,Las Vegas Aces,Los Angeles Sparks,Michelob ULTRA Arena,Las Vegas,NV,10348,2023-08-19
2023,Sunday,August,20,3:00 PM,Regular season,Washington Mystics,Dallas Wings,Entertainment and Sports Arena,Washington,DC,4200,2023-08-20
2023,Sunday,August,20,5:00 PM,Regular season,Chicago Sky,Connecticut Sun,Wintrust Arena,Chicago,IL,6901,2023-08-20
2023,Sunday,August,20,6:00 PM,Regular season,Phoenix Mercury,Indiana Fever,Footprint Center,Phoenix,AZ,11807,2023-08-20
2023,Sunday,August,20,7:00 PM,Regular season,Minnesota Lynx,Seattle Storm,Target Center,Minneapolis,MN,6525,2023-08-20
2023,Tuesday,August,22,7:00 PM,Regular season,Atlanta Dream,Las Vegas Aces,Gateway Center Arena @ College Park,Atlanta,GA,3209,2023-08-22
2023,Tuesday,August,22,7:00 PM,Regular season,Washington Mystics,Connecticut Sun,Entertainment and Sports Arena,Washington,DC,3058,2023-08-22
2023,Tuesday,August,22,8:00 PM,Regular season,Chicago Sky,Seattle Storm,Wintrust Arena,Chicago,IL,4822,2023-08-22
2023,Tuesday,August,22,8:00 PM,Regular season,Minnesota Lynx,Dallas Wings,Target Center,Minneapolis,MN,6921,2023-08-22
2023,Wednesday,August,23,10:00 PM,Regular season,Los Angeles Sparks,Phoenix Mercury,Galen Center,Los Angeles,CA,3469,2023-08-23
2023,Thursday,August,24,7:00 PM,Regular season,Connecticut Sun,New York Liberty,Mohegan Sun Arena,Uncasville,CT,9168,2023-08-24
2023,Thursday,August,24,7:00 PM,Regular season,Indiana Fever,Seattle Storm,Gainbridge Fieldhouse,Indianapolis,IN,2644,2023-08-24
2023,Thursday,August,24,8:00 PM,Regular season,Chicago Sky,Las Vegas Aces,Wintrust Arena,Chicago,IL,8084,2023-08-24
2023,Thursday,August,24,8:00 PM,Regular season,Dallas Wings,Minnesota Lynx,College Park Center,Arlington,TX,3931,2023-08-24
2023,Friday,August,25,8:00 PM,Regular season,Atlanta Dream,Los Angeles Sparks,Gateway Center Arena @ College Park,Atlanta,GA,2957,2023-08-25
2023,Saturday,August,26,7:00 PM,Regular season,Washington Mystics,Las Vegas Aces,Entertainment and Sports Arena,Washington,DC,4200,2023-08-26
2023,Saturday,August,26,8:00 PM,Regular season,Minnesota Lynx,New York Liberty,Target Center,Minneapolis,MN,7101,2023-08-26
2023,Sunday,August,27,1:00 PM,Regular season,Connecticut Sun,Los Angeles Sparks,Mohegan Sun Arena,Uncasville,CT,6783,2023-08-27
2023,Sunday,August,27,4:00 PM,Regular season,Indiana Fever,Atlanta Dream,Gainbridge Fieldhouse,Indianapolis,IN,4034,2023-08-27
2023,Sunday,August,27,6:00 PM,Regular season,Phoenix Mercury,Dallas Wings,Footprint Center,Phoenix,AZ,12163,2023-08-27
2023,Sunday,August,27,6:00 PM,Regular season,Seattle Storm,Chicago Sky,Climate Pledge Arena,Seattle,WA,9893,2023-08-27
2023,Monday,August,28,7:00 PM,Regular season,New York Liberty,Las Vegas Aces,Barclays Center,Brooklyn,NY,11615,2023-08-28
2023,Tuesday,August,29,7:00 PM,Regular season,Atlanta Dream,Phoenix Mercury,Gateway Center Arena @ College Park,Atlanta,GA,2785,2023-08-29
2023,Tuesday,August,29,7:00 PM,Regular season,Washington Mystics,Minnesota Lynx,Entertainment and Sports Arena,Washington,DC,3708,2023-08-29
2023,Tuesday,August,29,6:00 AM,Regular season,Los Angeles Sparks,Chicago Sky,Crypto.com Arena,Los Angeles,CA,6041,2023-08-29
2023,Thursday,August,31,7:00 PM,Regular season,Connecticut Sun,Phoenix Mercury,Mohegan Sun Arena,Uncasville,CT,7794,2023-08-31
2023,Thursday,August,31,10:00 PM,Regular season,Las Vegas Aces,Washington Mystics,Michelob ULTRA Arena,Las Vegas,NV,8619,2023-08-31
2023,Thursday,August,31,10:00 PM,Regular season,Los Angeles Sparks,Seattle Storm,Crypto.com Arena,Los Angeles,CA,6101,2023-08-31
2023,Friday,September,1,7:00 PM,Regular season,Indiana Fever,Dallas Wings,Gainbridge Fieldhouse,Indianapolis,IN,3137,2023-09-01
2023,Friday,September,1,8:00 PM,Regular season,New York Liberty,Connecticut Sun,Barclays Center,Brooklyn,NY,8276,2023-09-01
2023,Friday,September,1,8:00 PM,Regular season,Minnesota Lynx,Atlanta Dream,Target Center,Minneapolis,MN,7114,2023-09-01
2023,Saturday,September,2,9:00 PM,Regular season,Las Vegas Aces,Seattle Storm,Michelob ULTRA Arena,Las Vegas,NV,9319,2023-09-02
2023,Sunday,September,3,3:00 PM,Regular season,Chicago Sky,New York Liberty,Wintrust Arena,Chicago,IL,8223,2023-09-03
2023,Sunday,September,3,4:00 PM,Regular season,Dallas Wings,Indiana Fever,College Park Center,Arlington,TX,5058,2023-09-03
2023,Sunday,September,3,7:00 PM,Regular season,Minnesota Lynx,Phoenix Mercury,Target Center,Minneapolis,MN,7314,2023-09-03
2023,Sunday,September,3,3:00 AM,Regular season,Los Angeles Sparks,Washington Mystics,Galen Center,Los Angeles,CA,4284,2023-09-03
2023,Tuesday,September,5,7:00 PM,Regular season,Connecticut Sun,Los Angeles Sparks,Mohegan Sun Arena,Uncasville,CT,4783,2023-09-05
2023,Tuesday,September,5,7:00 PM,Regular season,Indiana Fever,Chicago Sky,Gainbridge Fieldhouse,Indianapolis,IN,2450,2023-09-05
2023,Tuesday,September,5,8:00 PM,Regular season,Dallas Wings,New York Liberty,College Park Center,Arlington,TX,4195,2023-09-05
2023,Tuesday,September,5,10:00 PM,Regular season,Phoenix Mercury,Washington Mystics,Footprint Center,Phoenix,AZ,7038,2023-09-05
2023,Wednesday,September,6,7:00 PM,Regular season,Atlanta Dream,Seattle Storm,Gateway Center Arena @ College Park,Atlanta,GA,2731,2023-09-06
2023,Thursday,September,7,7:00 PM,Regular season,New York Liberty,Los Angeles Sparks,Barclays Center,Brooklyn,NY,6275,2023-09-07
2023,Friday,September,8,7:00 PM,Regular season,Connecticut Sun,Indiana Fever,Mohegan Sun Arena,Uncasville,CT,5064,2023-09-08
2023,Friday,September,8,7:00 PM,Regular season,Washington Mystics,Atlanta Dream,Entertainment and Sports Arena,Washington,DC,4210,2023-09-08
2023,Friday,September,8,8:00 PM,Regular season,Chicago Sky,Minnesota Lynx,Wintrust Arena,Chicago,IL,7994,2023-09-08
2023,Friday,September,8,8:00 PM,Regular season,Dallas Wings,Seattle Storm,College Park Center,Arlington,TX,4546,2023-09-08
2023,Friday,September,8,10:00 PM,Regular season,Phoenix Mercury,Las Vegas Aces,Footprint Center,Phoenix,AZ,13206,2023-09-08
2023,Sunday,September,10,1:00 PM,Regular season,Atlanta Dream,Dallas Wings,Gateway Center Arena @ College Park,Atlanta,GA,3207,2023-09-10
2023,Sunday,September,10,1:00 PM,Regular season,Connecticut Sun,Chicago Sky,Mohegan Sun Arena,Uncasville,CT,6377,2023-09-10
2023,Sunday,September,10,1:00 PM,Regular season,Indiana Fever,Minnesota Lynx,Gainbridge Fieldhouse,Indianapolis,IN,4009,2023-09-10
2023,Sunday,September,10,1:00 PM,Regular season,New York Liberty,Washington Mystics,Barclays Center,Brooklyn,NY,8306,2023-09-10
2023,Sunday,September,10,3:00 PM,Regular season,Las Vegas Aces,Phoenix Mercury,T-Mobile Arena,Las Vegas,NV,17406,2023-09-10
2023,Sunday,September,10,3:00 PM,Regular season,Seattle Storm,Los Angeles Sparks,Climate Pledge Arena,Seattle,WA,10728,2023-09-10
2023,Friday,July,28,8:00 PM,Regular season,New York Liberty,Minnesota Lynx,Barclays Center,Brooklyn,NY,6129,2023-07-28
2023,Saturday,July,15,4:00 AM,All star,Team Wilson,Team Stewart,Michelob ULTRA Arena,Las Vegas,NV,9472,2023-07-15
2023,Wednesday,September,13,8:00 PM,First Round,Connecticut Sun,Minnesota Lynx,Mohegan Sun Arena,Uncasville,CT,5056,2023-09-13
2023,Wednesday,September,13,10:00 PM,First Round,Las Vegas Aces,Chicago Sky,T-Mobile Arena,Las Vegas,NV,12927,2023-09-13
2023,Friday,September,15,3:00 AM,First Round,New York Liberty,Washington Mystics,Barclays Center,Brooklyn,NY,8789,2023-09-15
2023,Friday,September,15,5:00 AM,First Round,Dallas Wings,Atlanta Dream,College Park Center,Arlington,TX,5053,2023-09-15
2023,Sunday,September,17,1:00 PM,First Round,Connecticut Sun,Minnesota Lynx,Mohegan Sun Arena,Uncasville,CT,6673,2023-09-17
2023,Sunday,September,17,3:00 PM,First Round,Las Vegas Aces,Chicago Sky,Michelob ULTRA Arena,Las Vegas,NV,9000,2023-09-17
2023,Tuesday,September,19,7:00 PM,First Round,New York Liberty,Washington Mystics,Barclays Center,Brooklyn,NY,9256,2023-09-19
2023,Tuesday,September,19,9:00 PM,First Round,Dallas Wings,Atlanta Dream,College Park Center,Arlington,TX,4798,2023-09-19
2023,Wednesday,September,20,8:00 PM,First Round,Minnesota Lynx,Connecticut Sun,Target Center,Minneapolis,MN,8724,2023-09-20
2023,Sunday,September,24,5:00 PM,Semifinals,Las Vegas Aces,Dallas Wings,Michelob ULTRA Arena,Las Vegas,NV,9784,2023-09-24
2023,Tuesday,September,26,10:00 PM,Semifinals,Las Vegas Aces,Dallas Wings,Michelob ULTRA Arena,Las Vegas,NV,9286,2023-09-26
2023,Friday,September,29,5:00 AM,Semifinals,Dallas Wings,Las Vegas Aces,College Park Center,Arlington,TX,6251,2023-09-29
2023,Sunday,September,24,1:00 PM,Semifinals,New York Liberty,Connecticut Sun,Barclays Center,Brooklyn,NY,9442,2023-09-24
2023,Tuesday,September,26,8:00 PM,Semifinals,New York Liberty,Connecticut Sun,Barclays Center,Brooklyn,NY,10009,2023-09-26
2023,Friday,September,29,3:00 AM,Semifinals,Connecticut Sun,New York Liberty,Mohegan Sun Arena,Uncasville,CT,9162,2023-09-29
2023,Sunday,October,1,3:00 PM,Semifinals,Connecticut Sun,New York Liberty,Mohegan Sun Arena,Uncasville,CT,8196,2023-10-01
2023,Sunday,October,8,3:00 PM,Finals,Las Vegas Aces,New York Liberty,Michelob ULTRA Arena,Las Vegas,NV,10300,2023-10-08
2023,Wednesday,October,11,9:00 PM,Finals,Las Vegas Aces,New York Liberty,Michelob ULTRA Arena,Las Vegas,NV,10232,2023-10-11
2023,Sunday,October,15,3:00 PM,Finals,New York Liberty,Las Vegas Aces,Barclays Center,Brooklyn,NY,17143,2023-10-15
2023,Wednesday,October,18,8:00 PM,Finals,New York Liberty,Las Vegas Aces,Barclays Center,Brooklyn,NY,16851,2023-10-18
2024,Tuesday,May,14,7:00 PM,Regular season,Washington Mystics,New York Liberty,Entertainment and Sports Arena,Washington,DC,4200,2024-05-14
2024,Tuesday,May,14,3:00 AM,Regular season,Connecticut Sun,Indiana Fever,Mohegan Sun Arena,Uncasville,CT,8910,2024-05-14
2024,Tuesday,May,14,10:00 PM,Regular season,Las Vegas Aces,Phoenix Mercury,Michelob ULTRA Arena,Las Vegas,NV,10419,2024-05-14
2024,Tuesday,May,14,10:00 PM,Regular season,Seattle Storm,Minnesota Lynx,Climate Pledge Arena,Seattle,WA,8508,2024-05-14
2024,Wednesday,May,15,8:00 PM,Regular season,Dallas Wings,Chicago Sky,College Park Center,Arlington,TX,6251,2024-05-15
2024,Wednesday,May,15,10:00 PM,Regular season,Los Angeles Sparks,Atlanta Dream,Walter Pyramid at Long Beach State,Long Beach,CA,3847,2024-05-15
2024,Thursday,May,16,7:00 PM,Regular season,Indiana Fever,New York Liberty,Gainbridge Fieldhouse,Indianapolis,IN,17274,2024-05-16
2024,Friday,May,17,3:00 AM,Regular season,Connecticut Sun,Washington Mystics,Mohegan Sun Arena,Uncasville,CT,6874,2024-05-17
2024,Friday,May,17,5:00 AM,Regular season,Minnesota Lynx,Seattle Storm,Target Center,Minneapolis,MN,7208,2024-05-17
2024,Saturday,May,18,1:00 PM,Regular season,New York Liberty,Indiana Fever,Barclays Center,Brooklyn,NY,17735,2024-05-18
2024,Saturday,May,18,3:00 PM,Regular season,Las Vegas Aces,Los Angeles Sparks,Michelob ULTRA Arena,Las Vegas,NV,10286,2024-05-18
2024,Saturday,May,18,8:00 PM,Regular season,Dallas Wings,Chicago Sky,College Park Center,Arlington,TX,6251,2024-05-18
2024,Saturday,May,18,10:00 PM,Regular season,Phoenix Mercury,Atlanta Dream,Footprint Center,Phoenix,AZ,10251,2024-05-18
2024,Sunday,May,19,3:00 PM,Regular season,Washington Mystics,Seattle Storm,Entertainment and Sports Arena,Washington,DC,4200,2024-05-19
2024,Monday,May,20,7:00 PM,Regular season,Indiana Fever,Connecticut Sun,Gainbridge Fieldhouse,Indianapolis,IN,17274,2024-05-20
2024,Monday,May,20,7:00 PM,Regular season,New York Liberty,Seattle Storm,Barclays Center,Brooklyn,NY,9381,2024-05-20
2024,Tuesday,May,21,3:00 AM,Regular season,Atlanta Dream,Dallas Wings,Gateway Center Arena @ College Park,Atlanta,GA,3265,2024-05-21
2024,Tuesday,May,21,10:00 PM,Regular season,Las Vegas Aces,Phoenix Mercury,Michelob ULTRA Arena,Las Vegas,NV,10374,2024-05-21
2024,Tuesday,May,21,10:00 PM,Regular season,Los Angeles Sparks,Washington Mystics,Walter Pyramid at Long Beach State,Long Beach,CA,3627,2024-05-21
2024,Wednesday,May,22,10:00 PM,Regular season,Seattle Storm,Indiana Fever,Climate Pledge Arena,Seattle,WA,18343,2024-05-22
2024,Thursday,May,23,7:00 PM,Regular season,Connecticut Sun,Minnesota Lynx,Mohegan Sun Arena,Uncasville,CT,6152,2024-05-23
2024,Thursday,May,23,7:00 PM,Regular season,New York Liberty,Chicago Sky,Barclays Center,Brooklyn,NY,12049,2024-05-23
2024,Thursday,May,23,10:00 PM,Regular season,Phoenix Mercury,Washington Mystics,Footprint Center,Phoenix,AZ,7474,2024-05-23
2024,Friday,May,24,10:00 PM,Regular season,Los Angeles Sparks,Indiana Fever,Crypto.com Arena,Los Angeles,CA,19103,2024-05-24
2024,Saturday,May,25,1:00 PM,Regular season,Minnesota Lynx,New York Liberty,Target Center,Minneapolis,MN,7010,2024-05-25
2024,Saturday,May,25,8:00 PM,Regular season,Chicago Sky,Connecticut Sun,Wintrust Arena,Chicago,IL,9025,2024-05-25
2024,Saturday,May,25,9:00 PM,Regular season,Las Vegas Aces,Indiana Fever,Michelob ULTRA Arena,Las Vegas,NV,10399,2024-05-25
2024,Saturday,May,25,9:00 PM,Regular season,Seattle Storm,Washington Mystics,Climate Pledge Arena,Seattle,WA,8846,2024-05-25
2024,Saturday,May,25,10:00 PM,Regular season,Phoenix Mercury,Dallas Wings,Footprint Center,Phoenix,AZ,8339,2024-05-25
2024,Sunday,May,26,6:00 PM,Regular season,Atlanta Dream,Minnesota Lynx,Gateway Center Arena @ College Park,Atlanta,GA,3265,2024-05-26
2024,Sunday,May,26,9:00 PM,Regular season,Los Angeles Sparks,Dallas Wings,Crypto.com Arena,Los Angeles,CA,10340,2024-05-26
2024,Tuesday,May,28,7:00 PM,Regular season,Connecticut Sun,Phoenix Mercury,Mohegan Sun Arena,Uncasville,CT,6489,2024-05-28
2024,Tuesday,May,28,7:00 PM,Regular season,Indiana Fever,Los Angeles Sparks,Gainbridge Fieldhouse,Indianapolis,IN,16013,2024-05-28
2024,Tuesday,May,28,8:00 PM,Regular season,Chicago Sky,Seattle Storm,Wintrust Arena,Chicago,IL,7807,2024-05-28
2024,Wednesday,May,29,7:00 PM,Regular season,New York Liberty,Phoenix Mercury,Barclays Center,Brooklyn,NY,9182,2024-05-29
2024,Wednesday,May,29,7:00 PM,Regular season,Washington Mystics,Atlanta Dream,Entertainment and Sports Arena,Washington,DC,4200,2024-05-29
2024,Wednesday,May,29,8:00 PM,Regular season,Minnesota Lynx,Las Vegas Aces,Target Center,Minneapolis,MN,7409,2024-05-29
2024,Thursday,May,30,7:00 PM,Regular season,Indiana Fever,Seattle Storm,Gainbridge Fieldhouse,Indianapolis,IN,15022,2024-05-30
2024,Thursday,May,30,8:00 PM,Regular season,Chicago Sky,Los Angeles Sparks,Wintrust Arena,Chicago,IL,7911,2024-05-30
2024,Friday,May,31,3:00 AM,Regular season,Atlanta Dream,Las Vegas Aces,Gateway Center Arena @ College Park,Atlanta,GA,4015,2024-05-31
2024,Friday,May,31,3:00 AM,Regular season,Connecticut Sun,Dallas Wings,Mohegan Sun Arena,Uncasville,CT,7638,2024-05-31
2024,Friday,May,31,3:00 AM,Regular season,New York Liberty,Washington Mystics,Barclays Center,Brooklyn,NY,9878,2024-05-31
2024,Friday,May,31,5:00 AM,Regular season,Minnesota Lynx,Phoenix Mercury,Target Center,Minneapolis,MN,7035,2024-05-31
2024,Saturday,June,1,12:00 PM,Regular season,Indiana Fever,Chicago Sky,Gainbridge Fieldhouse,Indianapolis,IN,17274,2024-06-01
2024,Sunday,June,2,3:00 PM,Regular season,Atlanta Dream,Connecticut Sun,Gateway Center Arena @ College Park,Atlanta,GA,3265,2024-06-02
2024,Sunday,June,2,7:00 PM,Regular season,New York Liberty,Indiana Fever,Barclays Center,Brooklyn,NY,17401,2024-06-02
2024,Sunday,June,2,7:00 PM,Regular season,Minnesota Lynx,Dallas Wings,Target Center,Minneapolis,MN,7024,2024-06-02
2024,Sunday,June,2,6:00 PM,Regular season,Phoenix Mercury,Los Angeles Sparks,Footprint Center,Phoenix,AZ,10207,2024-06-02
2024,Tuesday,June,4,7:00 PM,Regular season,Connecticut Sun,Washington Mystics,Mohegan Sun Arena,Uncasville,CT,5346,2024-06-04
2024,Tuesday,June,4,8:00 PM,Regular season,Chicago Sky,New York Liberty,Wintrust Arena,Chicago,IL,8277,2024-06-04
2024,Tuesday,June,4,10:00 PM,Regular season,Seattle Storm,Phoenix Mercury,Climate Pledge Arena,Seattle,WA,8133,2024-06-04
2024,Wednesday,June,5,8:00 PM,Regular season,Dallas Wings,Las Vegas Aces,College Park Center,Arlington,TX,6251,2024-06-05
2024,Wednesday,June,5,10:00 PM,Regular season,Los Angeles Sparks,Minnesota Lynx,Crypto.com Arena,Los Angeles,CA,8104,2024-06-05
2024,Thursday,June,6,7:00 PM,Regular season,Washington Mystics,Chicago Sky,Capital One Arena,Washington,DC,10000,2024-06-06
2024,Thursday,June,6,3:00 AM,Regular season,Atlanta Dream,New York Liberty,Gateway Center Arena @ College Park,Atlanta,GA,3255,2024-06-06
2024,Friday,June,7,3:00 AM,Regular season,Washington Mystics,Indiana Fever,Capital One Arena,Washington,DC,20333,2024-06-07
2024,Friday,June,7,10:00 PM,Regular season,Las Vegas Aces,Seattle Storm,Michelob ULTRA Arena,Las Vegas,NV,10380,2024-06-07
2024,Friday,June,7,10:00 PM,Regular season,Los Angeles Sparks,Dallas Wings,Crypto.com Arena,Los Angeles,CA,10123,2024-06-07
2024,Friday,June,7,10:00 PM,Regular season,Phoenix Mercury,Minnesota Lynx,Footprint Center,Phoenix,AZ,9052,2024-06-07
2024,Saturday,June,8,1:00 PM,Regular season,Connecticut Sun,New York Liberty,Mohegan Sun Arena,Uncasville,CT,8910,2024-06-08
2024,Saturday,June,8,5:00 PM,Regular season,Chicago Sky,Atlanta Dream,Wintrust Arena,Chicago,IL,8804,2024-06-08
2024,Sunday,June,9,3:00 PM,Regular season,New York Liberty,Washington Mystics,Barclays Center,Brooklyn,NY,12477,2024-06-09
2024,Sunday,June,9,4:00 PM,Regular season,Dallas Wings,Phoenix Mercury,College Park Center,Arlington,TX,5568,2024-06-09
2024,Sunday,June,9,7:00 PM,Regular season,Minnesota Lynx,Seattle Storm,Target Center,Minneapolis,MN,7121,2024-06-09
2024,Sunday,June,9,9:00 PM,Regular season,Los Angeles Sparks,Las Vegas Aces,Crypto.com Arena,Los Angeles,CA,13900,2024-06-09
2024,Monday,June,10,7:00 PM,Regular season,Connecticut Sun,Indiana Fever,Mohegan Sun Arena,Uncasville,CT,8910,2024-06-10
2024,Tuesday,June,11,3:00 AM,Regular season,Atlanta Dream,Washington Mystics,Gateway Center Arena @ College Park,Atlanta,GA,3260,2024-06-11
2024,Tuesday,June,11,10:00 PM,Regular season,Las Vegas Aces,Minnesota Lynx,Michelob ULTRA Arena,Las Vegas,NV,10368,2024-06-11
2024,Tuesday,June,11,10:00 PM,Regular season,Seattle Storm,Los Angeles Sparks,Climate Pledge Arena,Seattle,WA,8202,2024-06-11
2024,Wednesday,June,12,8:00 PM,Regular season,Chicago Sky,Connecticut Sun,Wintrust Arena,Chicago,IL,7815,2024-06-12
2024,Thursday,June,13,7:00 PM,Regular season,Indiana Fever,Atlanta Dream,Gainbridge Fieldhouse,Indianapolis,IN,16651,2024-06-13
2024,Thursday,June,13,7:00 PM,Regular season,Dallas Wings,Seattle Storm,College Park Center,Arlington,TX,5568,2024-06-13
2024,Thursday,June,13,10:00 PM,Regular season,Phoenix Mercury,Las Vegas Aces,Footprint Center,Phoenix,AZ,9325,2024-06-13
2024,Friday,June,14,3:00 AM,Regular season,Washington Mystics,Chicago Sky,Entertainment and Sports Arena,Washington,DC,4200,2024-06-14
2024,Friday,June,14,3:00 AM,Regular season,Minnesota Lynx,Los Angeles Sparks,Target Center,Minneapolis,MN,8117,2024-06-14
2024,Saturday,June,15,1:00 PM,Regular season,Dallas Wings,Connecticut Sun,College Park Center,Arlington,TX,5977,2024-06-15
2024,Saturday,June,15,3:00 PM,Regular season,Las Vegas Aces,New York Liberty,Michelob ULTRA Arena,Las Vegas,NV,10424,2024-06-15
2024,Sunday,June,16,3:00 PM,Regular season,Phoenix Mercury,Seattle Storm,Footprint Center,Phoenix,AZ,9444,2024-06-16
2024,Sunday,June,16,12:00 PM,Regular season,Indiana Fever,Chicago Sky,Gainbridge Fieldhouse,Indianapolis,IN,17274,2024-06-16
2024,Sunday,June,16,3:00 PM,Regular season,Atlanta Dream,Los Angeles Sparks,Gateway Center Arena @ College Park,Atlanta,GA,3260,2024-06-16
2024,Monday,June,17,8:00 PM,Regular season,Minnesota Lynx,Dallas Wings,Target Center,Minneapolis,MN,8314,2024-06-17
2024,Tuesday,June,18,7:00 PM,Regular season,Connecticut Sun,Los Angeles Sparks,Mohegan Sun Arena,Uncasville,CT,7853,2024-06-18
2024,Tuesday,June,18,10:00 PM,Regular season,Phoenix Mercury,New York Liberty,Footprint Center,Phoenix,AZ,9824,2024-06-18
2024,Wednesday,June,19,7:00 PM,Regular season,Indiana Fever,Washington Mystics,Gainbridge Fieldhouse,Indianapolis,IN,17274,2024-06-19
2024,Wednesday,June,19,8:00 PM,Regular season,Minnesota Lynx,Atlanta Dream,Target Center,Minneapolis,MN,8206,2024-06-19
2024,Wednesday,June,19,10:00 PM,Regular season,Las Vegas Aces,Seattle Storm,Michelob ULTRA Arena,Las Vegas,NV,10380,2024-06-19
2024,Thursday,June,20,12:00 PM,Regular season,Chicago Sky,Dallas Wings,Wintrust Arena,Chicago,IL,9025,2024-06-20
2024,Thursday,June,20,7:00 PM,Regular season,New York Liberty,Los Angeles Sparks,Barclays Center,Brooklyn,NY,10955,2024-06-20
2024,Friday,June,21,3:00 AM,Regular season,Atlanta Dream,Indiana Fever,State Farm Arena,Atlanta,GA,17575,2024-06-21
2024,Friday,June,21,10:00 PM,Regular season,Las Vegas Aces,Connecticut Sun,Michelob ULTRA Arena,Las Vegas,NV,10385,2024-06-21
2024,Saturday,June,22,3:00 PM,Regular season,Washington Mystics,Dallas Wings,Entertainment and Sports Arena,Washington,DC,4200,2024-06-22
2024,Saturday,June,22,3:00 PM,Regular season,New York Liberty,Los Angeles Sparks,Barclays Center,Brooklyn,NY,13639,2024-06-22
2024,Saturday,June,22,8:00 PM,Regular season,Minnesota Lynx,Phoenix Mercury,Target Center,Minneapolis,MN,8769,2024-06-22
